indicator_id,indicator_name,needs_assessment_domain,source_name,source_agency,api_or_download,expected_geography_level,expected_update_frequency,government_api_available,public_download_available,internal_or_qualitative_required,source_citation_id,source_citation_text,limitation,recommended_qualitative_followup_question
UNINSURED_RATE,Uninsured rate,Insurance Coverage,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Insurance coverage does not equal access to available or affordable services.,Do uninsured residents know where they can receive behavioral health care?
MEDICAID_COVERAGE,Medicaid coverage,Insurance Coverage,ACS 5-year / CMS Medicaid,U.S. Census Bureau / CMS,API / public files,"County, state, U.S.; CMS varies by dataset",Annual / ongoing,Partial,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,ACS Medicaid coverage differs from administrative enrollment and may lag.,Are Medicaid members able to find timely specialty behavioral health care?
NO_VEHICLE,Households with no vehicle available,Transportation,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Does not directly measure public transit availability or travel distance to care.,Where do transportation barriers most affect access to services?
INTERNET_ACCESS,Household internet access,Transportation / Access to Care,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Internet access is a proxy for telehealth readiness and does not measure digital literacy.,Are telehealth services accessible to people with limited internet or devices?
SNAP_HOUSEHOLDS,Households receiving SNAP,Food/Nutrition,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,SNAP is a proxy and does not fully measure food insecurity.,Do residents report food insecurity even when SNAP participation appears low?
RENT_BURDEN,Gross rent as percentage of household income,Housing Stability,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Rent burden does not capture homelessness or informal housing instability.,How is housing affordability affecting behavioral health and recovery?
MEDIAN_HOME_VALUE,Median home value,Housing Stability,ACS 5-year,U.S. Census Bureau,API,"County, state, U.S.",Annual,Yes,Yes,No,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,Home value does not measure rental availability or homelessness.,Are housing costs contributing to workforce shortages and client instability?
HOMELESSNESS_PIT,People experiencing homelessness,Housing Stability,HUD PIT/HIC,U.S. Department of Housing and Urban Development,Public download,Continuum of Care; county only where crosswalked,Annual,Partial,Yes,No,HUD_PIT_HIC,HUD PIT/HIC: Point-in-Time Count and Housing Inventory Count. U.S. Department of Housing and Urban Development. Annual. https://www.hudexchange.info/programs/hdx/pit-hic/.,Often reported by CoC rather than county; county allocation may require a crosswalk.,What local housing instability is not captured in PIT counts?
SUICIDE_MORTALITY,Suicide deaths and age-adjusted suicide mortality rate,Mental Health Prevalence and Outcomes,CDC WONDER / NVSS,Centers for Disease Control and Prevention,Manual download fallback,"County, state, U.S.; suppression possible",Annual,Partial,Yes,No,CDC_WONDER_NVSS,"CDC WONDER / NVSS: CDC WONDER, National Vital Statistics System Mortality. Centers for Disease Control and Prevention. Ongoing. https://wonder.cdc.gov/.",Programmatic access may be limited; small counts may be suppressed.,What local suicide-prevention needs are not visible in mortality data?
OVERDOSE_MORTALITY,Drug overdose deaths and age-adjusted overdose mortality rate,Substance Use Prevalence and Outcomes,CDC WONDER / NVSS,Centers for Disease Control and Prevention,Manual download fallback,"County, state, U.S.; suppression possible",Annual,Partial,Yes,No,CDC_WONDER_NVSS,"CDC WONDER / NVSS: CDC WONDER, National Vital Statistics System Mortality. Centers for Disease Control and Prevention. Ongoing. https://wonder.cdc.gov/.",Small counties may require multi-year aggregation due to suppression.,Which substances and overdose risks are most visible to local providers?
FREQUENT_MENTAL_DISTRESS,Frequent mental distress,Mental Health Prevalence and Outcomes,CDC PLACES,Centers for Disease Control and Prevention,API,"County, place, census tract depending on release",Annual,Yes,Yes,No,CDC_PLACES_API,CDC PLACES API: CDC PLACES Local Data for Better Health. Centers for Disease Control and Prevention. Ongoing. https://data.cdc.gov/.,Modeled estimate; should be labeled separately from observed survey or mortality data.,Does modeled distress align with stakeholder experience?
DEPRESSION_PREVALENCE,Depression prevalence,Mental Health Prevalence and Outcomes,CDC PLACES,Centers for Disease Control and Prevention,API,"County, place, census tract depending on release",Annual,Yes,Yes,No,CDC_PLACES_API,CDC PLACES API: CDC PLACES Local Data for Better Health. Centers for Disease Control and Prevention. Ongoing. https://data.cdc.gov/.,Modeled estimate; not a direct service-utilization measure.,Are depression-related needs presenting differently across subpopulations?
BINGE_DRINKING,Binge drinking,Substance Use Prevalence and Outcomes,CDC PLACES / BRFSS,Centers for Disease Control and Prevention,API / public files,County modeled; state observed,Annual,Partial,Yes,No,CDC_PLACES_API,CDC PLACES API: CDC PLACES Local Data for Better Health. Centers for Disease Control and Prevention. Ongoing. https://data.cdc.gov/.,County estimates may be modeled; BRFSS observed data may be state or region level.,How are alcohol-related needs showing up in local systems?
CURRENT_SMOKING,Current smoking,Physical Health and Co-occurring Conditions,CDC PLACES,Centers for Disease Control and Prevention,API,"County, place, census tract depending on release",Annual,Yes,Yes,No,CDC_PLACES_API,CDC PLACES API: CDC PLACES Local Data for Better Health. Centers for Disease Control and Prevention. Ongoing. https://data.cdc.gov/.,Modeled estimate.,Are tobacco and co-occurring physical health needs addressed in integrated care?
MENTAL_HEALTH_HPSA,Mental Health Professional Shortage Area status,Workforce and Provider Availability,HRSA Data Warehouse,Health Resources and Services Administration,API / public files,"County, tract, facility, or service area depending on designation",Ongoing,Partial,Yes,No,HRSA_DATA_WAREHOUSE,HRSA Data Warehouse: HRSA Data Warehouse and Area Health Resource Files. Health Resources and Services Administration. Ongoing. https://data.hrsa.gov/.,HPSA boundaries may not perfectly align with county boundaries.,"Which workforce shortages most affect access, staffing, and care continuity?"
PRIMARY_CARE_HPSA,Primary Care Professional Shortage Area status,Workforce and Provider Availability,HRSA Data Warehouse,Health Resources and Services Administration,API / public files,"County, tract, facility, or service area depending on designation",Ongoing,Partial,Yes,No,HRSA_DATA_WAREHOUSE,HRSA Data Warehouse: HRSA Data Warehouse and Area Health Resource Files. Health Resources and Services Administration. Ongoing. https://data.hrsa.gov/.,HPSA boundaries may not perfectly align with county boundaries.,Are primary care shortages affecting behavioral health integration?
TREATMENT_FACILITIES_MH,Mental health treatment facilities,Treatment Facilities and Service Infrastructure,SAMHSA FindTreatment / N-SUMHSS,Substance Abuse and Mental Health Services Administration,Locator / public files,Address-level; can aggregate to county,Annual / ongoing,Partial,Yes,No,SAMHSA_FINDTREATMENT,SAMHSA FindTreatment / N-SUMHSS: SAMHSA Behavioral Health Treatment Locator and N-SUMHSS. Substance Abuse and Mental Health Services Administration. Ongoing. https://findtreatment.gov/.,Locator completeness and service details should be validated locally.,"Which listed services are actually available, accepting referrals, and accessible?"
TREATMENT_FACILITIES_SUD,SUD treatment facilities and MOUD availability,Treatment Facilities and Service Infrastructure,SAMHSA FindTreatment / N-SUMHSS,Substance Abuse and Mental Health Services Administration,Locator / public files,Address-level; can aggregate to county,Annual / ongoing,Partial,Yes,No,SAMHSA_FINDTREATMENT,SAMHSA FindTreatment / N-SUMHSS: SAMHSA Behavioral Health Treatment Locator and N-SUMHSS. Substance Abuse and Mental Health Services Administration. Ongoing. https://findtreatment.gov/.,Facility listings may not reflect real-time capacity or payer acceptance.,Where are the biggest gaps in SUD treatment levels of care and MOUD access?
SCHOOL_ENROLLMENT,School enrollment and student demographics,"Children, Youth, and Families",NCES Common Core of Data,National Center for Education Statistics,API / public files,"School, district, county crosswalk where available",Annual,Partial,Yes,No,NCES_CCD,NCES Common Core of Data: Common Core of Data. National Center for Education Statistics. Ongoing. https://nces.ed.gov/ccd/.,County aggregation may require district/school geocoding or crosswalks.,Which school partners should be engaged for youth behavioral health needs?
FREE_REDUCED_LUNCH,Free/reduced-price lunch or school poverty proxy,Food/Nutrition,NCES Common Core of Data,National Center for Education Statistics,API / public files,"School, district, county crosswalk where available",Annual,Partial,Yes,Yes,NCES_CCD,NCES Common Core of Data: Common Core of Data. National Center for Education Statistics. Ongoing. https://nces.ed.gov/ccd/.,Program rule changes can affect comparability over time.,Do schools report increasing student and family economic stress?
CLIENT_DEMOGRAPHICS,CCBHC client demographics,Underserved Populations,Internal EHR / client data,Client organization,Internal file,Client/service area,Project-specific,No,No,Yes,INTERNAL_PLACEHOLDER,Internal organization data placeholder: Internal CCBHC data placeholder. Client organization. Project-specific. Not available through government API.,Not available through government APIs.,Which populations are represented in the community but underrepresented among clients?
SERVICE_UTILIZATION,"Service utilization, referrals, wait times, no-shows",Access to Care,Internal EHR / operations data,Client organization,Internal file,Client/service area,Project-specific,No,No,Yes,INTERNAL_PLACEHOLDER,Internal organization data placeholder: Internal CCBHC data placeholder. Client organization. Project-specific. Not available through government API.,Not available through government APIs.,Where do operational data show access barriers or service bottlenecks?
STAFFING_PLAN,"Staffing plan, FTEs, credentials, turnover, training",Staffing Implications,Internal staffing plan,Client organization,Internal file,Client/service area,Project-specific,No,No,Yes,INTERNAL_PLACEHOLDER,Internal organization data placeholder: Internal CCBHC data placeholder. Client organization. Project-specific. Not available through government API.,Government APIs cannot determine organization-specific staffing alignment.,What staffing changes are needed to address identified community needs?
QUALITATIVE_THEMES,"Interview, focus group, advisory board, and survey themes",Qualitative Findings,Primary qualitative research,Client organization / consultant,Internal file,Service area,Project-specific,No,No,Yes,CCBHC_TOOLKIT_2024,CCBHC CNA Toolkit: CCBHC Community Needs Assessment Toolkit. National Council for Mental Wellbeing / CCBHC-E NTTAC. 2024-01. CCBHC-Needs-Assessment-Toolkit.pdf.,Qualitative findings are not statistically representative unless designed as such.,"What explains the quantitative patterns, gaps, and outliers?"
